key,zh_CN,en
"ENEMY_PINYIN_BUN","拼音包子","Pinyin Bun"
"ENEMY_VOCAB_BUN","词汇包子","Vocabulary Bun"
"ENEMY_CULTURE_BUN","文化包子","Culture Bun"
"ENEMY_PINYIN_SLIME","拼音史莱姆","Pinyin Slime"
"ENEMY_VOCAB_SLIME","词汇史莱姆","Vocabulary Slime"
"ENEMY_CULTURE_SLIME","文化史莱姆","Culture Slime"
"ENEMY_PINYIN_MASK","拼音面具","Pinyin Mask"
"ENEMY_VOCAB_MASK","词汇面具","Vocabulary Mask"
"ENEMY_CULTURE_MASK","文化面具","Culture Mask"
"ENEMY_NIAN_BEAST","年兽","Nian Beast"

"ENEMY_PINYIN_BUN_DESCRIPTION","拼音包子\n属性：拼音\n技能：对全体我方角色造成 7 点基础伤害","Pinyin Bun\nType: Pinyin\nSkill: Deals 7 base damage to all enemies"
"ENEMY_VOCAB_BUN_DESCRIPTION","词汇包子\n属性：词汇\n技能：对全体我方角色造成 7 点基础伤害","Vocabulary Bun\nType: Vocabulary\nSkill: Deals 7 base damage to all enemies"
"ENEMY_CULTURE_BUN_DESCRIPTION","文化包子\n属性：文化\n技能：对全体我方角色造成 7 点基础伤害","Culture Bun\nType: Culture\nSkill: Deals 7 base damage to all enemies"
"ENEMY_PINYIN_SLIME_DESCRIPTION","拼音史莱姆\n属性：拼音\n技能：①为全体怪物增加 10 点护盾\n②对随机一名我方角色造成 5 点基础伤害","Pinyin Slime\nType: Pinyin\nSkill: ①Grants 10 shield to all monsters\n②Deals 5 base damage to one random enemy"
"ENEMY_VOCAB_SLIME_DESCRIPTION","词汇史莱姆\n属性：词汇\n技能：①为全体怪物增加 10 点护盾\n②对随机一名我方角色造成 5 点基础伤害","Vocabulary Slime\nType: Vocabulary\nSkill: ①Grants 10 shield to all monsters\n②Deals 5 base damage to one random enemy"
"ENEMY_CULTURE_SLIME_DESCRIPTION","文化史莱姆\n属性：文化\n技能：①为全体怪物增加 10 点护盾\n②对随机一名我方角色造成 5 点基础伤害","Culture Slime\nType: Culture\nSkill: ①Grants 10 shield to all monsters\n②Deals 5 base damage to one random enemy"
"ENEMY_PINYIN_MASK_DESCRIPTION","拼音面具\n属性：拼音\n技能：对随机一名我方角色造成 15 点基础伤害","Pinyin Mask\nType: Pinyin\nSkill: Deals 15 base damage to one random enemy"
"ENEMY_VOCAB_MASK_DESCRIPTION","词汇面具\n属性：词汇\n技能：对随机一名我方角色造成 15 点基础伤害","Vocabulary Mask\nType: Vocabulary\nSkill: Deals 15 base damage to one random enemy"
"ENEMY_CULTURE_MASK_DESCRIPTION","文化面具\n属性：文化\n技能：对随机一名我方角色造成 15 点基础伤害","Culture Mask\nType: Culture\nSkill: Deals 15 base damage to one random enemy"
"ENEMY_NIAN_BEAST_DESCRIPTION","年兽\n属性：文化\n技能：①随机虚弱一名角色并造成 22 点基础伤害\n②锁定目标蓄力后造成 100 点基础伤害","Nian Beast\nType: Culture\nSkill: ①Weakens one random character and deals 22 base damage\n②Locks a target and charges before dealing 100 base damage"

"ENEMY_SKILL_SLIME","为全体怪物增加 %d 点护盾","Grants %d shield to all monsters"
"ENEMY_SKILL_BUN","对全体我方角色造成 %d 点基础伤害","Deals %d base damage to all enemies"
"ENEMY_SKILL_MASK","对随机一名我方角色造成 %d 点基础伤害","Deals %d base damage to one random allied character"

"ENEMY_ABILITY_NIAN_WEAKENING_STRIKE","年兽震吼","Nian Roar"
"ENEMY_ABILITY_NIAN_CHARGE_ATTACK","年兽蓄势","Nian's Charge"

"CARD_BUDDING_ATTACK","文化纸牌","Culture Card"
"CARD_BUDDING_ATTACK_DESC","对敌人施加 20% 易伤，持续 2 回合，并造成 24 点基础伤害。","Apply 20% Vulnerable for 2 turns then deals 24 base damage."
"CARD_BUDDING_DEFENSE","社团守护","Club Guard"
"CARD_BUDDING_DEFENSE_DESC","对选中目标施加 40% 减伤。","Apply 40% damage reduction to the selected target."
"CARD_BUDDING_SKILL","清明春风","Qingming Breeze"
"CARD_BUDDING_SKILL_DESC","对全体怪物造成 40 点基础伤害。","Deal 40 base damage to all monsters."
"CARD_RABBIT_ATTACK","拼音连击","Pinyin Combo"
"CARD_RABBIT_ATTACK_DESC","对选中目标造成 26 点基础伤害，并对其余敌人造成 13 点基础伤害。","Deal 26 base damage to the selected target and half the damage to every other enemy."
"CARD_RABBIT_DEFENSE","声调护盾","Tone Shield"
"CARD_RABBIT_DEFENSE_DESC","对选中目标施加 30% 减伤。","Apply 30% damage reduction to the selected target."
"CARD_RABBIT_SKILL","四声爆发","Four-Tone Burst"
"CARD_RABBIT_SKILL_DESC","对选中目标造成 92 点基础伤害。","Deal 92 base damage to the selected target."
"CARD_LAWILIM_ATTACK","词汇冲击","Vocab Impact"
"CARD_LAWILIM_ATTACK_DESC","对选中目标造成 43 点基础伤害。","Deal 43 base damage to the selected target."
"CARD_LAWILIM_DEFENSE","成语屏障","Chengyu Barrier"
"CARD_LAWILIM_DEFENSE_DESC","对选中目标施加 35% 减伤。","Apply 35% damage reduction to the selected target."
"CARD_LAWILIM_SKILL","词海回响","Word-Sea Echo"
"CARD_LAWILIM_SKILL_DESC","对全体怪物造成 42 点基础伤害。","Deal 42 base damage to all monsters."
"CARD_POTION_OF_CONFUCIUS","孔子药水","Potion of Confucius"
"CARD_POTION_OF_CONFUCIUS_DESC","立刻获得 +2.5 AP。","Immediately gain +2.5 AP."
"CARD_DAGGER_OF_JINGKE","荆轲匕首","Dagger of Jing Ke"
"CARD_DAGGER_OF_JINGKE_DESC","以目标当前生命值的 30% 作为基础伤害","Uses 30% of the target's current HP as base damage"
"CARD_CURRENT_HP_DAMAGE","当前生命 %d%%\n作为基础伤害","%d%% current HP\nas base damage"
"CARD_IMPENETRABLE_SHIELD","不可破之盾","Impenetrable Shield"
"CARD_IMPENETRABLE_SHIELD_DESC","完全免疫一次伤害。","Completely negate the next damage."
"CARD_MENGHAN_TOXIN","蒙汗药","Menghan Toxin"
"CARD_MENGHAN_TOXIN_DESC","指定一名敌人使其眩晕。","Stun an enemy and skip its next action."
"CARD_ELIXIR_OF_HUATUO","华佗仙药","Elixir of Hua Tuo"
"CARD_ELIXIR_OF_HUATUO_DESC","立即回复最大生命值的 40%。","Immediately restore 40% of the maximum HP."
"CARD_GALL_OF_GOUJIAN","卧薪尝胆","Gall of Goujian"
"CARD_GALL_OF_GOUJIAN_DESC","指定一名我方角色。\n本回合伤害 -50%，随后 2 回合伤害 +30%。","Choose an ally.\nDeal 50% less damage this turn, then 30% more for 2 turns."
"CARD_INSIGHT_OF_PAODING","庖丁之悟","Insight of Paoding"
"CARD_INSIGHT_OF_PAODING_DESC","对敌人施加 20% 易伤，持续 2 回合。","Apply 20% Vulnerable for 2 turns."
"CARD_SMASHED_CAULDRON","破釜沉舟","Smashed Cauldron"
"CARD_SMASHED_CAULDRON_DESC","指定一名我方角色。\n受到伤害 +100%，但造成伤害 +30%，持续 2 回合。","Choose an ally.\nThey take 100% more damage and deal 30% more for 2 turns."
"CARD_SIX_SEVEN","六七","Six Seven"
"CARD_SIX_SEVEN_DESC","指定一名我方角色，直接扣除其 67 点生命。","Choose an ally and directly remove 67 HP."

"EFFECT_DAMAGE_IMMUNITY","伤害免疫","Damage Immunity"
"EFFECT_DAMAGE_IMMUNITY_DESC","完全免疫下一次受到的伤害，触发后消失。","Completely negates the next instance of damage, then expires."
"EFFECT_STUN","眩晕","Stun"
"EFFECT_STUN_DESC","跳过下一次行动。","Skips the next action."
"EFFECT_WEAKNESS","虚弱","Weakness"
"EFFECT_WEAKNESS_DESC","造成的伤害降低 %d%%。","Damage dealt is reduced by %d%%."
"EFFECT_STRENGTH","力量","Strength"
"EFFECT_STRENGTH_DESC","造成的伤害提高 %d%%。","Damage dealt is increased by %d%%."
"EFFECT_TARGET_LOCK","瞄准","Target Lock"
"EFFECT_TARGET_LOCK_VALUE","瞄准","Aim"
"EFFECT_TARGET_LOCK_DESC","正在瞄准：%s。","Aiming at %s."
"EFFECT_VULNERABLE","易伤","Vulnerable"
"EFFECT_VULNERABLE_DESC","受到的伤害提高 %d%%。","Damage taken is increased by %d%%."
"EFFECT_SOURCE_UNKNOWN","未知","Unknown"
"EFFECT_TOOLTIP_FORMAT","%s：%s","%s: %s"

"RESULT_CORRECT","回答正确","Correct"
"RESULT_WRONG","回答错误","Incorrect"
"RESULT_VOCABULARY_TRIGGER","，但词汇被动触发！",", but vocabulary passive triggered!"
"RESULT_VICTORY_TITLE","胜利","Victory"
"RESULT_VICTORY_MESSAGE","敌方全灭！New TOEFL：%.1f","All enemies defeated! New TOEFL: %.1f"
"RESULT_DEFEAT_TITLE","失败","Defeat"
"RESULT_DEFEAT_MESSAGE","我方全灭,再试试呢！","The team was defeated, try again!"

"Q_PY_EASY_1_PROMPT","“你好”的拼音是哪一个？","Which pinyin matches “你好”?"
"Q_PY_EASY_1_O0","ni hao","ni hao"
"Q_PY_EASY_1_O1","wo ai","wo ai"
"Q_PY_EASY_1_O2","xie xie","xie xie"
"Q_PY_EASY_1_O3","zai jian","zai jian"
"Q_PY_EASY_1_EXPLANATION","你好 = ni hao。","你好 = ni hao."
"Q_PY_EASY_2_PROMPT","“谢谢”的拼音是哪一个？","Which pinyin matches “谢谢”?"
"Q_PY_EASY_2_O0","qing wen","qing wen"
"Q_PY_EASY_2_O1","xie xie","xie xie"
"Q_PY_EASY_2_O2","lao shi","lao shi"
"Q_PY_EASY_2_O3","peng you","peng you"
"Q_PY_EASY_2_EXPLANATION","谢谢 = xie xie。","谢谢 = xie xie."
"Q_PY_MEDIUM_1_PROMPT","“老师”的正确拼音是？","What is the correct pinyin for “老师”?"
"Q_PY_MEDIUM_1_O0","lao shi","lao shi"
"Q_PY_MEDIUM_1_O1","luo si","luo si"
"Q_PY_MEDIUM_1_O2","la shi","la shi"
"Q_PY_MEDIUM_1_O3","liang shi","liang shi"
"Q_PY_MEDIUM_1_EXPLANATION","老师 = lao shi。","老师 = lao shi."
"Q_PY_MEDIUM_2_PROMPT","“中国”的正确拼音是？","What is the correct pinyin for “中国”?"
"Q_PY_MEDIUM_2_O0","zhong guo","zhong guo"
"Q_PY_MEDIUM_2_O1","zhong gua","zhong gua"
"Q_PY_MEDIUM_2_O2","zong guo","zong guo"
"Q_PY_MEDIUM_2_O3","cheng guo","cheng guo"
"Q_PY_MEDIUM_2_EXPLANATION","中国 = zhong guo。","中国 = zhong guo."
"Q_PY_HARD_1_PROMPT","“北京二中”的拼音更接近哪一个？","Which pinyin is closest to “北京二中”?"
"Q_PY_HARD_1_O0","bei jing er zhong","bei jing er zhong"
"Q_PY_HARD_1_O1","bai jing yi zhong","bai jing yi zhong"
"Q_PY_HARD_1_O2","bei jin er zong","bei jin er zong"
"Q_PY_HARD_1_O3","bei qing er zhong","bei qing er zhong"
"Q_PY_HARD_1_EXPLANATION","北京二中 = bei jing er zhong。","北京二中 = bei jing er zhong."
"Q_PY_HARD_2_PROMPT","“中文社”的拼音是？","What is the pinyin for “中文社”?"
"Q_PY_HARD_2_O0","zhong wen she","zhong wen she"
"Q_PY_HARD_2_O1","zhong wen se","zhong wen se"
"Q_PY_HARD_2_O2","zong wen she","zong wen she"
"Q_PY_HARD_2_O3","cheng wen she","cheng wen she"
"Q_PY_HARD_2_EXPLANATION","中文社 = zhong wen she。","中文社 = zhong wen she."
"Q_VOC_EASY_1_PROMPT","“水”是什么意思？","What does “水” mean?"
"Q_VOC_EASY_1_O0","water","water"
"Q_VOC_EASY_1_O1","fire","fire"
"Q_VOC_EASY_1_O2","school","school"
"Q_VOC_EASY_1_O3","card","card"
"Q_VOC_EASY_1_EXPLANATION","水 = water。","水 = water."
"Q_VOC_EASY_2_PROMPT","“朋友”是什么意思？","What does “朋友” mean?"
"Q_VOC_EASY_2_O0","teacher","teacher"
"Q_VOC_EASY_2_O1","friend","friend"
"Q_VOC_EASY_2_O2","monster","monster"
"Q_VOC_EASY_2_O3","answer","answer"
"Q_VOC_EASY_2_EXPLANATION","朋友 = friend。","朋友 = friend."
"Q_VOC_MEDIUM_1_PROMPT","“教室”是什么意思？","What does “教室” mean?"
"Q_VOC_MEDIUM_1_O0","classroom","classroom"
"Q_VOC_MEDIUM_1_O1","library","library"
"Q_VOC_MEDIUM_1_O2","office","office"
"Q_VOC_MEDIUM_1_O3","gym","gym"
"Q_VOC_MEDIUM_1_EXPLANATION","教室 = classroom。","教室 = classroom."
"Q_VOC_MEDIUM_2_PROMPT","“迟到”是什么意思？","What does “迟到” mean?"
"Q_VOC_MEDIUM_2_O0","to arrive late","to arrive late"
"Q_VOC_MEDIUM_2_O1","to study","to study"
"Q_VOC_MEDIUM_2_O2","to win","to win"
"Q_VOC_MEDIUM_2_O3","to ask","to ask"
"Q_VOC_MEDIUM_2_EXPLANATION","迟到 = to arrive late。","迟到 = to arrive late."
"Q_VOC_HARD_1_PROMPT","“吉祥物”是什么意思？","What does “吉祥物” mean?"
"Q_VOC_HARD_1_O0","mascot","mascot"
"Q_VOC_HARD_1_O1","homework","homework"
"Q_VOC_HARD_1_O2","culture","culture"
"Q_VOC_HARD_1_O3","question","question"
"Q_VOC_HARD_1_EXPLANATION","吉祥物 = mascot。","吉祥物 = mascot."
"Q_VOC_HARD_2_PROMPT","“减伤”在游戏里更接近？","What does “减伤” mean in a game?"
"Q_VOC_HARD_2_O0","damage reduction","damage reduction"
"Q_VOC_HARD_2_O1","extra gold","extra gold"
"Q_VOC_HARD_2_O2","new level","new level"
"Q_VOC_HARD_2_O3","random card","random card"
"Q_VOC_HARD_2_EXPLANATION","减伤 = damage reduction。","减伤 = damage reduction."
"Q_CUL_EASY_1_PROMPT","春节通常和哪种颜色关系最密切？","Which color is most closely associated with the Spring Festival?"
"Q_CUL_EASY_1_O0","红色","Red"
"Q_CUL_EASY_1_O1","蓝色","Blue"
"Q_CUL_EASY_1_O2","黑色","Black"
"Q_CUL_EASY_1_O3","紫色","Purple"
"Q_CUL_EASY_1_EXPLANATION","春节常用红色表达喜庆。","Red commonly represents celebration during the Spring Festival."
"Q_CUL_EASY_2_PROMPT","中秋节常吃什么？","What food is commonly eaten during the Mid-Autumn Festival?"
"Q_CUL_EASY_2_O0","月饼","Mooncakes"
"Q_CUL_EASY_2_O1","饺子","Dumplings"
"Q_CUL_EASY_2_O2","粽子","Zongzi"
"Q_CUL_EASY_2_O3","面条","Noodles"
"Q_CUL_EASY_2_EXPLANATION","中秋节常吃月饼。","Mooncakes are commonly eaten during the Mid-Autumn Festival."
"Q_CUL_MEDIUM_1_PROMPT","清明节常见活动是？","Which activity is common during the Qingming Festival?"
"Q_CUL_MEDIUM_1_O0","扫墓","Tomb sweeping"
"Q_CUL_MEDIUM_1_O1","贴春联","Putting up spring couplets"
"Q_CUL_MEDIUM_1_O2","吃月饼","Eating mooncakes"
"Q_CUL_MEDIUM_1_O3","赛龙舟","Dragon boat racing"
"Q_CUL_MEDIUM_1_EXPLANATION","清明节常见活动包括扫墓。","Tomb sweeping is a common Qingming Festival activity."
"Q_CUL_MEDIUM_2_PROMPT","端午节常见食物是？","Which food is common during the Dragon Boat Festival?"
"Q_CUL_MEDIUM_2_O0","粽子","Zongzi"
"Q_CUL_MEDIUM_2_O1","月饼","Mooncakes"
"Q_CUL_MEDIUM_2_O2","汤圆","Tangyuan"
"Q_CUL_MEDIUM_2_O3","蛋糕","Cake"
"Q_CUL_MEDIUM_2_EXPLANATION","端午节常吃粽子。","Zongzi is commonly eaten during the Dragon Boat Festival."
"Q_CUL_HARD_1_PROMPT","“中文社”最可能推广的是？","What would a Chinese club most likely promote?"
"Q_CUL_HARD_1_O0","中文学习和中国文化","Chinese learning and Chinese culture"
